lsoa11,r_dec,h_dec,e_dec,ahah_dec,r_dom,h_dom,e_dom,ahah
E01005595,5,5,8,5,13.86913486,14.33720979,30.30413057,19.45182892
E01005596,6,6,8,6,16.22713496,16.16992054,31.34519831,21.19664296
E01005597,3,7,7,5,6.172736208,26.3014263,22.50054114,18.40466647
E01005598,8,4,8,6,27.8404106,9.950279091,28.63898369,22.02129501
E01005599,10,1,10,10,56.75899777,1.430341117,74.85375851,43.91852555
E01005600,9,2,10,10,39.52459214,4.149714102,71.19948632,37.94984869
E01005601,9,2,10,10,48.58662181,4.446146858,69.3963033,40.44605522
E01005602,8,3,10,10,35.25892592,7.538044591,66.59463023,36.17460869
E01005603,10,2,10,10,58.68579831,3.334814404,56.93293192,39.28801787
E01005604,7,5,10,9,26.38351529,12.18993724,54.56326635,30.8570166
E01005605,7,4,9,8,25.7782098,11.14552823,40.61162861,25.69812627
E01005609,9,1,9,8,37.68870536,1.971613772,40.39007236,26.43634533
E01005610,7,4,9,8,25.64841481,10.65614497,41.21418463,25.68774711
E01005611,8,3,8,7,32.10369873,5.441645293,29.92531667,22.31973448
E01005612,9,1,8,8,42.29023485,1.022913973,34.34491477,25.63739013
E01005613,10,1,9,10,56.17601975,1.701142584,47.75174594,34.87455116
E01005614,10,1,8,9,52.0566116,1.739251831,34.84188292,29.26784881
E01005615,7,2,7,5,24.43168146,4.756483438,26.95068155,18.57338416
E01005616,8,9,8,9,27.50518934,36.18189451,33.15328482,32.31914061
E01005617,8,8,8,9,34.30377996,30.96571554,30.40389761,31.88187688
E01005618,8,8,8,9,32.34664706,30.72857503,32.86080635,31.96617514
E01005619,9,7,9,10,39.73180531,22.07187718,48.33607632,36.56683918
E01005620,9,5,9,9,36.46165086,12.25936403,48.98593474,32.36588702
E01005621,5,9,9,9,12.74468064,40.7904232,41.71586666,31.84072449
E01005622,10,1,8,9,66.37911084,1.972799283,30.39165796,32.60510546
E01005623,9,2,8,9,48.95391617,4.90212434,32.8063783,28.64761945
E01005624,9,3,8,8,44.30554825,6.26542125,29.28676086,26.41570523
E01005625,6,5,8,5,16.44296561,12.58803664,29.35879206,19.39451249
E01005626,8,3,8,7,31.55232355,5.501689737,30.73478434,22.42532011
E01005627,7,1,8,4,21.07672676,2.376440802,31.05370313,18.01103174
E01005628,9,2,8,8,38.28453232,2.733312016,34.12797373,24.82545308
E01005629,8,2,8,7,34.97342057,4.359839933,34.50775447,24.41113334
E01005630,8,2,9,7,28.93186417,4.112601918,39.84841922,24.09577817
E01005631,10,1,10,10,50.70562185,1.600019969,65.81090339,38.99446012
E01005632,9,2,9,9,38.09845489,4.509600947,48.77180313,30.20044947
E01005633,7,2,8,5,22.19007201,5.007397461,30.65213097,19.14044212
E01005634,7,3,7,5,25.32218769,7.200016309,25.35001622,19.16983283
E01005635,8,3,9,8,27.40825514,6.641394503,47.20729958,26.88120719
E01005636,8,4,8,7,27.28855005,8.725666662,33.20854102,22.93076672
E01005637,8,2,8,7,35.55567695,2.452578135,32.20057033,23.19343817
E01005638,10,2,10,10,71.89527601,2.490741525,60.200056,44.43831168
E01005639,5,7,8,7,14.42973728,23.70666719,35.18093701,24.43178936
E01005640,4,7,8,7,10.91964272,23.10609648,33.75672286,22.59927344
E01005641,8,4,8,7,28.14541992,9.497759206,32.42894623,23.21877896
E01005642,7,4,9,7,26.55720701,8.746347375,36.77713325,23.87409039
E01005643,4,8,9,9,11.0116627,29.82958984,46.3915572,29.08512311
E01005644,6,6,10,9,18.51765427,17.48716063,53.80022671,29.81053534
E01005645,7,5,10,9,22.61369298,15.45371014,52.89290588,30.17143907
E01005646,9,2,9,9,42.12320518,2.658683961,47.49292043,30.477274
E01005647,9,2,7,6,36.36361301,3.363763564,22.99937349,20.73346516
E01005648,6,6,6,4,16.56785178,16.5220558,18.92900808,17.33146272
E01005649,8,2,8,6,27.73478749,4.851011465,29.31204342,20.4747981
E01005650,7,3,8,5,23.50472949,5.865285948,29.53888064,19.49858856
E01005651,9,2,9,9,43.08025598,3.728736401,43.75209003,29.92244456
E01005652,4,6,6,3,8.85802583,17.22681106,17.43021073,14.53223382
E01005653,4,2,7,1,10.98445657,3.385184213,20.96951839,11.69577437
E01005654,10,1,9,10,73.03863126,0.665099928,42.23556107,38.26661744
E01005655,10,2,9,10,57.39009518,3.041098992,48.72649929,36.05244983
E01005656,10,1,9,10,53.25375474,2.154906172,45.32491173,33.26362803
E01005657,9,1,9,9,47.10584438,1.425709953,42.87229586,30.17752766
E01005658,8,3,9,9,34.37399546,5.918705961,48.68580199,29.42209319
E01005659,5,5,8,6,12.62568474,14.94383835,34.3521815,20.58360089
E01005660,7,2,9,6,23.29106607,2.933306139,38.39690569,21.35435477
E01005661,5,5,10,8,11.71516233,12.73426755,51.96264514,25.34332743
E01005662,4,6,9,8,10.50704192,17.5046225,47.27518587,25.01970682
E01005663,6,3,10,8,20.13982508,7.640201958,51.2446115,26.15453274
E01005664,5,5,8,5,12.41657818,13.37144246,30.27164708,18.63340477
E01005665,6,4,9,6,18.00496638,8.283910723,37.4768208,21.12551942
E01005667,8,3,10,9,33.02944161,7.156160521,57.40989243,32.27807481
E01005670,10,2,7,8,53.52536776,3.063464174,24.66897907,26.84571228
E01005671,10,2,8,9,53.57560643,3.438191502,30.99291384,29.0765968
E01005672,10,1,8,10,76.76316151,0.690874738,32.67312097,36.34887063
E01005673,8,6,8,7,28.52775701,17.07200425,27.56102189,24.31377848
E01005674,9,3,7,7,41.13270902,6.430323061,25.32709616,24.11804555
E01005675,5,7,7,6,15.07863293,23.65335355,22.8813703,20.56894127
E01005676,5,8,6,5,11.8814522,30.48770999,16.99442033,19.89485933
E01005677,8,6,6,6,30.3773866,15.75823909,18.55663148,21.50602726
E01005678,7,5,6,4,22.54544511,14.73950167,16.20621319,17.7994778
E01005679,7,5,7,5,22.85931195,14.26224111,21.87247032,19.61065012
E01005680,8,2,8,7,32.10150184,4.166010286,33.15788444,22.95204097
E01005681,7,4,9,8,26.34072405,10.97218048,39.86688611,25.57905272
E01005682,9,1,9,9,49.70186138,1.81566028,44.59491537,31.73526082
E01005683,6,5,8,5,15.93159722,11.67716648,27.60434037,18.33709601
E01005686,10,2,8,9,60.10336513,4.826168616,35.11823478,33.0640253
E01005687,9,4,8,8,36.77982541,9.302088831,30.53486075,25.37655664
E01005688,9,4,7,7,36.42980899,11.42545235,26.61770455,24.69033327
E01005689,9,4,10,10,47.41583736,8.111414773,51.25976523,35.32082988
E01005690,9,2,9,8,36.95820817,2.951855109,38.29315696,25.83658123
E01005691,8,7,8,8,28.92229625,25.17216767,27.16060247,27.06589359
E01005692,10,2,7,9,60.621281,3.221884041,24.12059834,29.06026075
E01005693,9,6,8,9,37.94500417,19.32767416,30.48156701,29.1521777
E01005694,7,5,8,7,25.50120461,12.52792758,29.52512857,22.41818533
E01005695,6,4,7,4,17.62839903,8.559308299,26.65234615,17.52281073
E01005696,8,4,7,6,28.56540074,11.39775262,25.91881306,21.85502645
E01005697,8,3,8,6,27.44769755,5.944758047,29.96131719,20.9661926
E01005698,10,2,8,9,57.74907926,2.765194443,28.88597442,29.52973382
E01005699,8,6,8,8,30.35497805,15.71079379,28.84017605,24.87607074
E01005700,10,1,8,9,51.73971157,2.072005648,34.60062628,29.19679341
E01005701,8,4,7,6,30.92810937,9.909227599,24.51682683,21.66596633
E01005702,6,4,8,5,20.19866759,9.426339077,27.71299486,19.01580389
E01005703,7,3,9,6,22.95800347,5.07649133,37.5741568,21.70161994
E01005704,7,1,9,7,25.97933572,1.691771524,40.89965907,22.6452706
E01005705,6,5,7,5,19.00843904,13.22015058,23.96893413,18.67738435
E01005706,8,2,9,7,28.41706562,4.217582254,37.8743074,23.31013106
E01005707,7,3,7,5,23.89808824,7.779410372,26.69224861,19.33981068
E01005708,9,2,8,7,37.2668704,2.902424394,29.36269208,22.97457991
E01005709,5,5,9,8,13.01517301,15.25326005,49.16053187,25.70409103
E01005710,6,5,9,8,18.55053694,14.21273382,45.34053187,25.9163822
E01005711,5,6,8,6,13.67112947,18.84738119,27.76933477,20.0834628
E01005712,9,2,8,7,36.37419157,3.837117257,28.12693093,22.58999029
E01005713,6,5,7,4,15.80361927,13.62090967,24.27639558,17.85751419
E01005714,4,8,7,6,11.43260608,28.29014644,24.32960796,21.42018042
E01005715,6,6,7,5,18.48238814,19.70003701,21.87528673,20.01604529
E01005716,5,4,7,3,14.28652851,8.56799251,22.50343553,15.05380559
E01005717,4,7,7,4,8.791751034,20.8924747,21.35865621,17.05307579
E01005718,8,3,8,7,32.7882642,5.478895802,34.59328065,24.09873437
E01005719,9,2,10,10,39.91928964,2.569692097,64.57929313,35.35822763
E01005720,8,2,9,8,28.34045702,4.398670912,50.27559626,27.43884569
E01005721,8,2,9,8,30.72650563,2.60805047,43.32587324,25.32402219
E01005722,8,2,9,8,27.9593606,3.68846439,49.34576154,26.7647682
E01005723,9,3,9,9,36.35303931,5.323396052,47.45006461,29.46497895
E01005724,9,1,9,8,37.60483339,1.221135249,38.8078217,25.63136216
E01005725,7,4,8,6,22.37642585,10.61899431,29.56247475,20.75029526
E01005726,8,3,8,8,35.00081536,7.438594209,33.26624108,25.05725066
E01005727,8,3,8,6,27.01222436,7.093125112,28.96250829,20.88332431
E01005728,8,5,8,8,28.17688536,12.39418634,34.27961733,24.82466924
E01005729,9,2,9,9,43.07671553,4.434928418,50.21757444,32.29499135
E01005730,8,4,9,9,30.2899134,8.365166787,46.83746492,28.29619155
E01005731,5,7,8,7,14.40428054,22.23294292,34.22654874,23.60737425
E01005732,4,7,8,7,10.52251055,26.18223594,31.76999078,22.85848566
E01005733,7,6,8,7,22.35628427,19.3112918,30.16639146,23.8983222
E01005734,6,3,7,3,18.74022284,6.377138585,21.80076807,15.54675412
E01005735,6,5,6,3,15.83717169,11.7922513,20.3339209,15.945826
E01005736,5,4,8,5,14.53184697,11.21629797,32.68889086,19.39638479
E01005737,4,8,5,5,10.86547948,28.32926738,15.35485764,18.28466216
E01005738,5,7,6,5,15.24375824,21.78252672,18.02639958,18.38521117
E01005739,4,5,8,6,11.16320026,14.96468506,34.52727529,20.16584985
E01005740,4,8,7,6,8.750326567,34.70863267,20.638845,21.49936172
E01005741,4,7,7,5,9.410771039,22.64570851,23.36457093,18.51540374
E01005742,6,3,8,5,20.33918953,7.292461261,27.6875962,18.32827612
E01005743,5,6,6,4,15.32941614,19.49595216,19.68210712,18.18242641
E01005744,6,6,7,6,18.10157344,17.84721488,26.27071831,20.71090934
E01005745,6,4,7,4,17.42092616,11.31485306,24.00598402,17.5179304
E01005746,7,4,8,6,20.81434337,8.609089587,32.95864656,20.67217714
E01005747,6,6,7,5,16.35749804,16.4774645,23.5470956,18.77085383
E01005748,5,6,7,5,14.80154416,17.94078638,24.37823267,19.02919372
E01005749,6,5,9,7,20.0238891,11.72693569,37.19274174,22.86864631
E01005750,6,7,6,5,15.66129631,24.95056626,16.86153982,19.21572845
E01005751,7,3,7,4,21.95428663,7.002951624,21.28167252,16.64887007
E01005752,7,4,8,6,26.09747655,9.682672654,30.95108361,22.11813355
E01005753,8,2,6,4,30.14216996,4.201249501,15.66559621,16.54498767
E01005754,6,5,6,3,19.10436941,12.50167918,16.21061619,15.90451617
E01005755,8,3,6,6,35.56589028,6.850756542,18.17579473,20.06401328
E01005756,5,7,6,4,12.77120799,22.80352528,16.59582098,17.44431815
E01005757,8,3,6,4,29.1337154,7.848183852,17.57927579,18.0836696
E01005758,10,1,9,10,81.34004829,2.096427266,43.15117984,41.79489056
E01005759,7,4,8,6,24.33587634,8.086656828,34.28444783,22.0941703
E01005760,9,1,8,8,44.33544345,1.159257714,34.32796799,26.3530734
E01005761,7,6,8,7,24.19992306,17.81768277,31.20110129,24.34035018
E01005762,6,5,8,6,16.08108064,14.85545003,35.52506413,22.08088079
E01005763,7,2,8,5,24.03999893,4.401305895,32.09271637,20.02024005
E01005764,10,2,9,9,53.74949555,4.887316823,36.83103637,31.55326325
E01005765,8,3,9,8,34.32554805,7.470943724,36.7018805,25.97917229
E01005766,10,1,8,9,58.38077555,0.678544051,35.82787453,31.3195595
E01005767,7,6,6,5,22.12449142,18.00734686,17.25674573,19.11830619
E01005768,8,6,7,7,27.77479435,18.58712845,23.84893253,23.35545354
E01005769,10,2,8,10,68.59872512,3.699324496,28.39461717,33.26557328
E01005770,10,3,7,9,56.64376815,5.802885618,23.98590792,28.58077421
E01005771,10,2,7,9,63.67750587,2.58916772,21.06992659,28.84696974
E01005772,8,4,6,6,35.34476733,10.53024877,20.43820053,21.98866398
E01005773,9,4,7,9,49.9582725,9.325742713,25.61193801,28.10892199
E01005774,8,5,6,6,33.67189395,11.85775292,20.32207088,21.84964439
E01005775,10,3,7,9,55.69307326,7.500323381,21.67756974,28.08242214
E01005776,7,6,5,5,22.11452814,17.81650227,15.38457501,18.43231481
E01005777,8,5,6,6,30.18255332,14.57794465,17.30056662,20.62593076
E01005778,9,4,8,9,42.51023901,8.546682571,34.58838486,28.34841795
E01005779,9,4,8,8,43.15473178,8.274553469,27.56643224,26.15133231
E01005780,8,3,8,7,35.76853852,7.525212437,30.35090611,24.37798896
E01005781,9,3,7,7,37.3191786,6.574683303,26.94541411,23.44270792
E01005782,8,6,7,7,27.36172842,17.46041148,26.70614396,23.77893779
E01005783,6,6,6,5,20.49118119,18.05143024,18.98110369,19.1633403
E01005784,6,6,5,4,18.68744331,16.97506517,15.51984863,17.0599285
E01005785,8,3,6,5,32.14547961,7.528985857,16.3076961,18.54940318
E01005786,10,2,7,8,54.48174384,4.86243475,23.85814122,27.50538989
E01005787,6,6,6,5,18.32375291,17.58044418,20.27079126,18.71355059
E01005788,8,4,6,5,28.32926738,9.53972952,19.78218072,19.12028591
E01005789,9,3,6,7,46.67544367,6.307609539,17.85667317,23.4401858
E01005790,7,6,6,5,22.44850438,17.40004958,18.32254615,19.37046353
E01005791,6,2,7,3,17.03546157,4.28368491,22.67631041,14.56133762
E01005792,7,3,6,4,24.7087678,6.496616256,20.12807462,17.00500753
E01005793,4,5,9,6,9.099178568,15.02420205,36.52546716,20.16436179
E01005794,6,6,7,5,16.17101948,15.7971309,22.99493742,18.29579028
E01005795,4,6,8,7,10.71501762,20.59884228,35.70678546,22.32280139
E01005796,9,4,6,6,38.24145756,10.36914429,17.31211232,21.85818712
E01005797,10,1,9,9,57.69554158,0.988811966,40.50374899,32.74196196
E01005798,8,2,8,6,32.58994502,2.822940456,28.80779062,21.22105252
E01005799,6,2,8,5,20.20128631,3.218129229,33.42624844,18.79125041
E01005800,6,3,8,6,19.99921424,7.975574694,34.94108692,20.84199478
E01005801,9,2,7,6,36.46696213,4.386817221,25.94233073,22.0865845
E01005802,7,4,7,5,26.04001806,8.524604209,25.96250789,20.059199
E01005803,6,5,7,5,18.77342548,14.7054495,24.74862548,19.36212965
E01005804,9,1,8,7,38.17270531,2.380664048,32.32223642,24.07275655
E01005805,8,4,5,4,27.82216508,9.162294654,14.42260655,17.05595482
E01005806,6,4,6,3,18.5164373,8.36438411,17.53492118,14.74083889
E01005807,6,4,6,3,20.33655506,11.39596669,15.65055007,15.75037337
E01005808,6,3,4,1,16.92050306,6.831711247,11.01341904,11.54097612
E01005809,4,6,5,2,9.946086805,17.07314715,12.10505892,13.08174812
E01005810,6,4,4,2,15.7301914,10.19729113,10.41188119,12.09396294
E01005811,4,6,5,2,9.784845818,15.82093054,15.57975053,13.74943318
E01005812,5,3,5,1,11.63201501,6.77613064,13.09579122,10.46406047
E01005813,5,5,5,2,14.39715769,11.65728891,15.00434594,13.66597443
E01005814,6,4,6,3,18.77711763,9.589204612,18.71811435,15.63375612
E01005815,8,3,7,5,31.0642003,6.416655848,22.5730103,19.88194249
E01005816,10,1,9,10,72.27011446,0.93152087,39.5579856,37.21999012
E01005817,9,2,9,9,48.05743694,3.716583446,46.84163436,32.5803319
E01005818,9,2,9,8,36.97720895,4.924353506,40.98677631,27.40239533
E01005819,9,2,9,9,40.17999184,4.104796451,45.55244861,29.68733614
E01005820,9,1,9,9,49.91533831,2.094043528,37.91952829,29.69748078
E01005821,9,3,9,8,36.17927144,5.614610516,41.30578129,27.47903498
E01005822,10,2,10,10,67.98417812,3.964102743,53.82280986,41.54410097
E01005823,8,2,9,8,34.6472032,4.256173598,42.08248419,26.76789586
E01005824,7,1,7,4,26.22813622,1.510956805,23.67618712,16.98215202
E01005825,9,2,8,7,37.75040644,2.392131056,32.16089171,23.88405295
E01005826,8,4,10,9,27.33492883,8.993564082,50.70562185,28.81119351
E01005827,7,2,9,8,24.99245818,4.592486707,47.24121768,25.39855851
E01005828,6,5,9,8,18.84120912,14.74879738,47.34753527,26.85687676
E01005829,8,3,8,6,27.26539569,8.002524513,30.02947232,21.62816478
E01005830,8,2,8,6,28.58236054,3.811418811,30.70995713,20.86234722
E01005831,9,2,8,7,38.57377759,3.028683281,28.55786706,23.18319505
E01005832,7,3,6,4,24.27170627,5.100927044,20.14243711,16.39098251
E01005833,6,5,9,8,18.77834847,13.13139147,43.18672396,24.913147
E01005834,9,3,7,7,42.03506732,7.009591702,22.32036099,23.62055252
E01005835,4,4,5,2,11.27573564,10.43927455,14.63646798,12.10038054
E01005836,9,3,6,7,41.02236334,7.69335162,18.80544376,22.35891589
E01005837,5,4,5,2,13.82542718,9.729134243,14.29463001,12.58752452
E01005838,10,1,7,10,77.2116292,1.609353714,22.38506335,33.41408881
E01005839,6,5,4,2,18.50548743,12.95011699,10.81318461,14.07820155
E01005840,9,2,7,7,45.61166255,4.209741085,22.45139222,23.89212004
E01005841,8,5,5,4,27.52498538,13.67310111,12.51386221,17.86167408
E01005842,5,6,5,3,15.08597001,19.56462854,11.7677362,15.51369675
E01005843,5,2,6,1,13.28694543,2.635488527,18.87703019,11.51017805
E01005844,7,6,6,4,21.59673016,16.58574815,16.06247872,18.0666933
E01005845,9,2,7,6,42.53443013,2.638539222,21.22957996,21.93922667
E01005846,8,4,6,5,31.72888586,10.61467836,17.77640141,19.94573544
E01005847,7,5,8,6,21.38897043,15.42177579,27.31172775,21.31463417
E01005848,4,7,7,6,11.29884243,26.00797132,26.32875676,21.25981798
E01005849,8,3,6,6,35.08819832,5.786787181,19.76675641,20.0696427
E01005850,6,7,6,5,18.05620108,21.49538599,18.36965668,19.3289643
E01005851,7,5,6,5,22.19435551,14.24101065,18.53591661,18.28293342
E01005852,8,3,8,6,29.01239221,5.159406549,32.19174694,21.95156415
E01005853,6,7,10,9,16.39519781,20.93299184,54.29648465,30.44547244
E01005854,7,4,8,7,26.94892561,9.241840654,35.16085369,23.63845299
E01005855,7,3,8,6,25.29602686,6.730887835,32.63261943,21.40495514
E01005856,6,7,10,9,18.16380734,21.02238159,54.48755731,31.12256007
E01005857,5,6,9,8,14.82951797,18.95628154,42.63839555,25.40954719
E01005858,7,2,8,6,26.14151245,3.790239187,32.70016168,20.70643379
E01005859,9,3,8,8,42.10283567,5.395510777,29.33930191,25.41037907
E01005860,8,5,9,9,30.83852051,11.86686514,50.16933448,30.7673263
E01005861,7,6,10,9,22.28736104,17.84957909,57.44953811,32.38203361
E01005862,8,4,8,8,33.09586709,10.48042585,35.37260828,26.15794166
E01005863,8,3,9,9,35.12825566,7.625038872,44.23842577,28.78351809
E01005864,9,2,7,8,47.93030022,4.64569078,24.95056626,25.6302208
E01005865,8,5,7,6,27.20317263,14.76326484,24.02143911,21.92363192
E01005866,10,1,7,8,57.57553553,1.962131883,25.39920766,28.04879009
E01005867,8,4,7,6,28.01079079,8.722486664,25.81662294,20.728692
E01005868,7,5,7,5,22.3980257,12.35598396,25.09266329,19.87296191
E01005869,9,4,7,7,39.07399984,9.112111345,21.00339107,22.92365686
E01005870,8,3,6,5,31.51160546,5.462332572,19.33902264,18.63790035
E01005871,9,2,7,6,42.87229586,2.422939216,21.33938611,22.01365438
E01005872,9,2,7,7,43.00602056,3.443246192,22.31174774,22.72556725
E01005873,7,3,6,3,20.93975164,5.84774066,19.61180325,15.37024494
E01005874,9,1,8,8,47.01743671,1.932526151,31.27939503,26.49501337
E01005875,8,1,6,4,33.37278887,1.71813737,19.14810675,17.91606226
E01005876,8,2,7,4,28.71469873,4.654348078,21.14893248,18.03747665
E01005877,9,2,9,8,38.83135763,3.728096611,36.60815948,26.16259349
E01005878,8,3,4,3,28.02550628,7.035432466,11.00551657,15.27228458
E01005879,9,2,5,5,42.7777512,2.461053418,12.43245227,19.05612531
E01005880,3,8,4,4,7.925608654,32.63936473,9.775689877,16.93881252
E01005881,5,5,4,1,11.61488067,12.40817869,10.85849996,11.63499636
E01005882,7,4,5,4,24.60070307,10.44612799,14.72814534,16.53020349
E01005883,6,4,4,2,18.81407169,11.33176526,11.08466374,13.71938288
E01005884,7,4,5,3,23.40517421,11.2615276,13.11117916,15.879316
E01005885,9,1,5,6,49.62643345,0.891897731,12.6539613,20.8557755
E01005886,7,2,8,5,24.77097598,3.474230434,28.76594765,18.84842314
E01005887,6,3,7,3,16.14356182,7.491279489,21.66221625,15.02294179
E01005888,6,4,8,4,16.43740611,8.538795008,27.2013973,17.30399543
E01005889,7,1,7,3,21.8190239,2.03453021,22.29739949,15.25015999
E01005890,6,3,7,3,16.51982418,7.055386624,22.5657531,15.29707195
E01005891,4,6,6,3,9.945248439,18.83750668,16.70353987,15.19885241
E01005892,6,4,6,2,16.59246288,9.083830335,16.22823663,13.91933315
E01005893,7,3,6,3,21.85839342,6.216893259,18.57980549,15.45834935
E01005894,6,3,6,2,18.04308366,6.652289699,18.43747178,14.30036179
E01005895,7,5,6,4,21.12711063,12.76362562,19.06819281,17.60408285
E01005896,7,3,8,5,25.40905859,5.068351858,28.23623145,19.42618535
E01005897,6,7,4,5,18.30927599,26.85430291,10.44355771,18.61889811
E01005898,4,8,4,5,10.6293559,35.37514095,9.892492922,18.79975803
E01005899,8,5,6,6,29.83158009,15.05349498,17.12349083,20.6133617
E01005900,9,4,5,7,45.58795867,9.719170284,14.83470205,23.24399593
E01005901,5,8,7,6,13.17090486,28.92420952,21.28716282,21.20539357
E01005902,6,6,6,5,18.46902546,20.62683688,19.7141346,19.61356736
E01005903,6,7,5,5,19.50103227,22.42685709,15.13634457,19.05546577
E01005904,9,5,5,5,36.14519866,11.77318174,12.09585186,19.92242846
E01005905,7,4,8,7,24.46160409,10.93276591,34.96097917,23.32659288
E01005906,3,6,3,1,7.15244777,17.75519982,6.709028063,10.61105496
E01005907,4,4,5,1,9.107260701,10.56208884,14.94592217,11.52866055
E01005908,3,9,7,7,6.231155572,42.35876036,21.37932066,23.51343568
E01005909,7,4,6,3,21.59394765,9.759052045,17.82949106,16.32781247
E01005910,8,2,6,5,34.92369531,3.749219061,20.12676939,19.44138783
E01005911,6,5,5,3,18.86343632,13.6396062,11.74868695,14.73946679
E01005912,3,8,6,5,8.03953569,34.56147664,15.95989174,19.67071311
E01005913,4,5,6,2,8.820473279,11.80588209,20.33523794,13.63538462
E01005914,7,4,7,5,24.01216481,9.475570596,23.00972763,18.73891851
E01005915,7,3,8,6,25.86179863,7.300679994,29.25374092,20.67035925
E01005916,7,5,9,8,25.43206051,12.29554896,42.07909403,26.45916764
E01005917,8,2,9,9,35.64007289,4.061264545,50.03958974,29.65511861
E01005918,9,4,9,9,37.22565832,9.084637881,48.69032036,31.44104984
E01005919,7,6,7,6,21.43037252,18.14823307,22.60351556,20.70158231
E01005920,7,5,7,6,23.95351428,15.34213337,23.02600785,20.71956765
E01005921,8,3,6,4,27.18542549,6.947692066,18.34065417,17.38582159
E01005922,6,5,7,5,20.30891136,13.83833217,21.50647044,18.50410893
E01005923,5,6,8,6,14.27336965,18.66661035,27.75660078,20.21653776
E01005924,8,3,4,3,29.23240032,6.833907976,11.09964439,15.63310347
E01005925,8,3,5,3,28.15281968,6.771748413,12.82815555,15.82611629
E01005926,3,9,6,6,8.000213291,37.1653472,16.53321715,20.73225009
E01005927,5,2,5,1,11.80951834,4.02883165,14.76429858,10.13916234
E01005928,4,3,7,2,9.392758044,7.583391857,25.34510285,14.04184733
E01005929,6,5,6,3,18.01329914,12.15760965,16.36636301,15.47887579
E01005930,6,4,5,2,18.90052944,10.85762767,13.34129871,14.3313967
E01005931,7,4,6,4,24.66897907,10.48471668,16.87513331,17.27436076
E01005932,6,5,5,3,17.02633496,15.21211388,13.04777016,15.09657341
E01005933,6,5,6,4,20.01479528,15.10065119,19.53535242,18.18577015
E01005934,8,4,8,6,29.04506722,8.318253261,28.25852578,21.7383918
E01005935,7,4,6,4,25.90370725,9.634650462,18.93892196,18.07384879
E01005936,5,6,5,3,14.10800891,18.44232338,13.48556806,15.37627035
E01005937,5,7,5,4,15.04198259,21.25561149,14.06484814,16.83216205
E01005938,4,8,6,4,8.837244502,27.49080291,16.04389183,17.55764798
E01005939,4,8,5,4,8.579049885,28.27526071,15.58510651,17.58776025
E01005940,5,7,7,5,12.7569931,21.1680436,21.88232927,18.62811121
E01005941,9,1,8,8,44.11957846,0.766122926,32.71143804,25.61471724
E01005942,9,2,8,8,42.16399839,3.123211203,32.84038073,25.81333692
E01005943,9,3,8,8,45.54850643,6.765906741,29.48392165,27.06110956
E01005944,7,2,7,3,21.91616352,2.749860837,22.55269591,15.60967629
E01005945,7,3,6,3,23.55163946,7.495047345,17.56292467,16.11612226
E01005946,8,2,7,6,31.05370313,4.568584967,26.21962925,20.45351858
E01005947,9,1,7,6,39.65845789,0.608608542,24.67693131,21.43760534
E01005948,10,1,9,10,78.69514722,0.447172469,39.5003364,39.15654823
E01005949,9,1,9,9,44.94165558,2.017300113,40.33344404,28.82666491
E01005950,8,3,9,9,32.57200051,5.50652772,47.78647712,28.39051704
E01005951,7,4,9,7,23.27160415,8.988738373,38.1955999,23.34034838
E01005952,9,1,9,9,40.92221336,2.257303327,44.72385576,29.03068594
E01005953,8,2,9,8,30.22098329,2.947525678,42.24238819,24.91507132
E01005954,7,3,7,4,22.54689509,5.854055422,20.99254639,16.35839453
E01005955,6,5,7,4,16.32539111,11.70520497,23.5637608,17.14318982
E01005956,5,6,7,4,12.15945571,18.32978764,22.79326353,17.76652515
E01005957,9,1,8,7,38.68757661,1.369631166,29.11634429,22.84096849
E01005958,7,3,7,4,22.06335647,5.434753666,24.47736849,17.20625548
E01005959,7,4,8,6,25.2209798,8.144725284,31.55661386,21.50581251
E01005960,9,2,9,9,41.54962892,2.776854825,43.00249151,28.84633038
E01005961,7,6,8,8,25.44028106,16.70353987,33.05690475,24.98327487
E01005962,8,5,9,8,28.55221842,15.17209342,37.46294922,26.94351709
E01005963,7,6,8,8,21.646873,17.50578709,35.78915977,24.90585843
E01005964,7,6,8,8,21.86120811,19.56335489,35.77111517,25.67020735
E01005965,9,3,8,8,40.83533986,6.907252603,30.20277161,25.79104267
E01005966,8,4,9,8,32.06638007,9.683501503,36.53079318,25.92945768
E01005967,9,3,8,9,48.5057913,6.489401211,32.67762555,28.99692397
E01005968,7,6,9,8,25.89867418,17.62254552,38.69050195,27.3060936
E01005969,9,2,8,9,45.57611589,4.043745102,35.74021445,28.20926235
E01005970,7,6,8,7,24.68966062,15.78524032,29.77194736,23.33931234
E01005971,9,3,8,8,36.33190648,5.749035074,33.30093072,24.9335082
E01005972,9,1,8,8,49.8629718,1.809773687,32.87897769,27.92016639
E01005973,7,6,8,7,25.58544572,17.47203772,28.37405865,23.74712927
E01005974,10,1,9,9,60.17026165,2.275915466,36.01461789,32.51482151
E01005975,9,4,8,8,39.79310735,9.211775645,30.04352936,26.17809383
E01005976,9,5,8,9,39.13058898,11.796794,34.67912604,28.36811592
E01005977,9,5,8,9,42.92147244,15.44093108,30.54101799,29.49253841
E01005978,8,6,6,7,29.31788181,19.96808378,20.3734651,23.18729297
E01005979,9,5,6,7,40.41528532,14.52775387,16.55890882,23.74092038
