lsoa11,r_dec,h_dec,e_dec,ahah_dec,r_dom,h_dom,e_dom,ahah
E01000214,9,2,8,8,39.03239149,4.101544955,32.89034208,25.12902736
E01000215,9,2,10,10,45.13829288,3.126327283,52.89833126,33.41503725
E01000216,10,1,9,10,53.5867855,0.413358987,50.30951004,34.42631958
E01000217,10,1,9,10,53.23722911,1.084995614,50.22723458,34.51217153
E01000218,9,1,10,10,49.16514447,0.586274016,53.69325851,34.14260615
E01000219,8,3,10,9,32.30228333,5.101606184,53.30340298,29.98442258
E01000220,9,1,10,9,40.40897949,1.658418114,51.80170853,30.9933892
E01000221,5,6,10,9,12.90907339,17.308648,54.55160257,28.14696339
E01000222,7,3,10,9,23.77080711,6.196940867,62.59369102,30.60724428
E01000223,7,4,10,9,22.81672569,10.2966733,63.49615327,31.98411898
E01000224,8,2,10,9,33.07981578,2.669068443,64.48930281,33.10529241
E01000225,8,3,10,9,33.69542617,7.911023675,50.5434186,30.48856682
E01000226,9,3,9,8,36.12948976,5.791685512,39.28918277,26.85733501
E01000227,9,3,9,8,37.09973311,6.085384444,38.90801618,27.15158798
E01000228,5,6,5,3,14.98659446,18.94016149,11.5986599,15.21278885
E01000229,6,5,6,4,16.63391375,14.89700222,18.67641175,16.71738817
E01000230,7,3,7,4,25.4995559,6.039356576,22.87107377,18.01568903
E01000231,7,4,5,4,25.62022311,10.71328392,15.34531378,17.16114371
E01000232,9,2,8,7,37.19548299,4.218235805,29.26538961,23.36628813
E01000233,10,1,9,9,51.7810243,2.119085115,40.49425445,31.17133093
E01000234,9,3,8,9,47.53585626,5.208480746,33.96064522,28.66472894
E01000235,9,2,8,8,49.82970962,4.927723436,29.91732419,27.99194713
E01000236,8,2,9,9,31.66413255,4.623064009,48.84447541,28.13968239
E01000237,10,1,9,10,56.42767484,1.830972478,44.75810839,34.01383911
E01000238,8,2,9,8,33.88455576,4.020406584,44.39160191,27.19807027
E01000239,7,6,9,8,20.96816452,18.00853719,38.79900193,25.84606758
E01000240,5,7,7,6,13.71059441,21.77551467,26.81935602,20.77855863
E01000241,8,5,8,7,33.47983255,12.03425945,28.41332269,24.51638944
E01000242,8,5,8,8,32.65286128,12.27976904,31.16943635,25.23647969
E01000243,10,2,9,10,77.51026657,2.81187148,37.83763078,39.02084243
E01000244,10,2,9,10,57.88347121,3.532517926,40.01515746,33.50760356
E01000245,10,1,9,10,61.30701727,0.81511023,42.77076332,34.62280507
E01000246,7,4,5,3,26.27583346,9.31513624,13.55117793,16.31006008
E01000247,8,3,5,4,34.57859641,6.811218552,13.15644086,18.06837661
E01000248,10,1,5,7,55.13019987,1.284905554,12.12256249,22.63027947
