longitude,latitude,rank,metro_area,pop,year,name,Y,X
1750159.3590360114,467500.28292565123,2,Philadelphia,109,1820,"Philadelphia, PA, USA",39.9525839,-75.1652215
1645401.3846196022,369094.44625939615,3,Baltimore,62.7,1820,"Baltimore, MD, USA",39.2903848,-76.6121893
2017891.0935164597,810721.5487696491,4,Boston,54,1820,"Boston, MA, USA",42.3600825,-71.0588801
1618357.9362595072,319724.89159618074,5,"Washington, DC",28.8,1820,"Washington, DC, USA",38.9071923,-77.0368707
571370.0657730749,-825013.831012461,6,New Orleans,27.2,1820,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1489404.4011597864,-402212.95491455356,7,Charleston,24.8,1820,"Charleston, SC, USA",32.7764749,-79.93105120000001
2026051.0467771208,831384.9177264982,8,"Salem, MA",22.6,1820,"Salem, MA, USA",42.51954,-70.8967155
1796324.3447050054,788287.1398821838,9,Albany,17.9,1820,"Albany, NY, USA",42.6525793,-73.7562317
1614458.5485605972,162752.953847807,10,Richmond,12.1,1820,"Richmond, VA, USA",37.5407246,-77.4360481
2005241.5662940776,745291.7254146772,11,Providence,11.8,1820,"Providence, RI, USA",41.8239891,-71.4128343
981897.663930694,239101.6451391023,12,Cincinnati,9.6,1820,"Cincinnati, OH, USA",39.1031182,-84.5120196
2042384.6457147035,967835.9902975449,13,"Portland, ME",8.6,1820,"Portland, ME, USA",43.6590993,-70.2568189
1729013.8609793875,107232.51041438921,14,Norfolk,8.5,1820,"Norfolk, VA, USA",36.8507689,-76.28587259999999
1394907.4941948818,-496349.0099662345,15,Savannah,7.5,1820,"Savannah, GA, USA",32.0808989,-81.091203
2020428.7881533524,893796.5016619624,16,"Portsmouth, NH",7.3,1820,"Portsmouth, NH 03801, USA",43.0717552,-70.7625532
2022811.0661811105,711296.1327055877,17,"Newport, RI",7.3,1820,"Newport, RI, USA",41.4901024,-71.3128285
2126044.4220356992,715467.1807565491,18,Nantucket,7.3,1820,"Nantucket, MA, USA",41.2834704,-70.099451
1339643.7539514583,442625.07253996487,19,Pittsburgh,7.3,1820,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1898074.298640454,658263.9733892003,20,New Haven,7.2,1820,"New Haven, CT, USA",41.308274,-72.9278835
1826306.8215123028,572323.5961299175,1,New York,215,1830,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,161,1830,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,3,Boston,85.6,1830,"Boston, MA, USA",42.3600825,-71.0588801
1645401.3846196022,369094.44625939615,4,Baltimore,80.6,1830,"Baltimore, MD, USA",39.2903848,-76.6121893
571370.0657730749,-825013.831012461,5,New Orleans,46.1,1830,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1796324.3447050054,788287.1398821838,6,Albany,35.8,1830,"Albany, NY, USA",42.6525793,-73.7562317
1618357.9362595072,319724.89159618074,7,"Washington, DC",35.5,1830,"Washington, DC, USA",38.9071923,-77.0368707
1489404.4011597864,-402212.95491455356,8,Charleston,30.3,1830,"Charleston, SC, USA",32.7764749,-79.93105120000001
2026051.0467771208,831384.9177264982,9,"Salem, MA",27.3,1830,"Salem, MA, USA",42.51954,-70.8967155
981897.663930694,239101.6451391023,10,Cincinnati,24.8,1830,"Cincinnati, OH, USA",39.1031182,-84.5120196
2005241.5662940776,745291.7254146772,11,Providence,22.4,1830,"Providence, RI, USA",41.8239891,-71.4128343
1614458.5485605972,162752.953847807,12,Richmond,16.1,1830,"Richmond, VA, USA",37.5407246,-77.4360481
1339643.7539514583,442625.07253996487,13,Pittsburgh,15.4,1830,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1812151.3849968635,571633.1880056176,14,Newark,14.4,1830,"Newark, NJ, USA",40.735657,-74.1723667
2042384.6457147035,967835.9902975449,15,"Portland, ME",12.6,1830,"Portland, ME, USA",43.6590993,-70.2568189
886053.5483151034,132148.6722439323,16,Louisville,10.3,1830,"Louisville, KY, USA",38.2526647,-85.7584557
1898074.298640454,658263.9733892003,17,New Haven,10.2,1830,"New Haven, CT, USA",41.308274,-72.9278835
1729013.8609793875,107232.51041438921,18,Norfolk,9.8,1830,"Norfolk, VA, USA",36.8507689,-76.28587259999999
1478682.3236268333,776933.5041766829,19,Rochester,9.2,1830,"Rochester, NY, USA",43.15657789999999,-77.6088465
1383166.0954311108,728166.9433833254,20,Buffalo,8.7,1830,"Buffalo, NY, USA",42.88644679999999,-78.8783689
1826306.8215123028,572323.5961299175,1,New York,374,1840,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,259,1840,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,3,Boston,183,1840,"Boston, MA, USA",42.3600825,-71.0588801
1645401.3846196022,369094.44625939615,4,Baltimore,110,1840,"Baltimore, MD, USA",39.2903848,-76.6121893
571370.0657730749,-825013.831012461,5,New Orleans,105,1840,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1796324.3447050054,788287.1398821838,6,Albany,72,1840,"Albany, NY, USA",42.6525793,-73.7562317
981897.663930694,239101.6451391023,7,Cincinnati,54.8,1840,"Cincinnati, OH, USA",39.1031182,-84.5120196
1618357.9362595072,319724.89159618074,8,"Washington, DC",50.2,1840,"Washington, DC, USA",38.9071923,-77.0368707
1339643.7539514583,442625.07253996487,9,Pittsburgh,43.7,1840,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1489404.4011597864,-402212.95491455356,10,Charleston,42.6,1840,"Charleston, SC, USA",32.7764749,-79.93105120000001
2005241.5662940776,745291.7254146772,11,Providence,40.9,1840,"Providence, RI, USA",41.8239891,-71.4128343
886053.5483151034,132148.6722439323,12,Louisville,34.2,1840,"Louisville, KY, USA",38.2526647,-85.7584557
1478682.3236268333,776933.5041766829,13,Rochester,31.4,1840,"Rochester, NY, USA",43.15657789999999,-77.6088465
1812151.3849968635,571633.1880056176,14,Newark,29.8,1840,"Newark, NJ, USA",40.735657,-74.1723667
1383166.0954311108,728166.9433833254,15,Buffalo,29.3,1840,"Buffalo, NY, USA",42.88644679999999,-78.8783689
2042384.6457147035,967835.9902975449,16,"Portland, ME",28.6,1840,"Portland, ME, USA",43.6590993,-70.2568189
499943.2577844952,141578.9028524153,17,St. Louis,28.4,1840,"St. Louis, MO, USA",38.6270025,-90.19940419999999
2048854.2419924464,735202.4745687366,18,New Bedford,24.1,1840,"New Bedford, MA, USA",41.6362152,-70.93420499999999
1898074.298640454,658263.9733892003,19,New Haven,21.9,1840,"New Haven, CT, USA",41.308274,-72.9278835
1057362.9018611417,613370.7849437178,20,Detroit,21.2,1840,"Detroit, MI, USA",42.331427,-83.0457538
1826306.8215123028,572323.5961299175,1,New York,650,1850,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,405,1850,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,3,Boston,308,1850,"Boston, MA, USA",42.3600825,-71.0588801
1645401.3846196022,369094.44625939615,4,Baltimore,179,1850,"Baltimore, MD, USA",39.2903848,-76.6121893
981897.663930694,239101.6451391023,5,Cincinnati,133,1850,"Cincinnati, OH, USA",39.1031182,-84.5120196
571370.0657730749,-825013.831012461,6,New Orleans,123,1850,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1796324.3447050054,788287.1398821838,7,Albany,107,1850,"Albany, NY, USA",42.6525793,-73.7562317
499943.2577844952,141578.9028524153,8,St. Louis,95,1850,"St. Louis, MO, USA",38.6270025,-90.19940419999999
1339643.7539514583,442625.07253996487,9,Pittsburgh,86,1850,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1383166.0954311108,728166.9433833254,10,Buffalo,80,1850,"Buffalo, NY, USA",42.88644679999999,-78.8783689
1618357.9362595072,319724.89159618074,11,"Washington, DC",67,1850,"Washington, DC, USA",38.9071923,-77.0368707
2005241.5662940776,745291.7254146772,12,Providence,65,1850,"Providence, RI, USA",41.8239891,-71.4128343
886053.5483151034,132148.6722439323,13,Louisville,61,1850,"Louisville, KY, USA",38.2526647,-85.7584557
1812151.3849968635,571633.1880056176,14,Newark,57,1850,"Newark, NJ, USA",40.735657,-74.1723667
1489404.4011597864,-402212.95491455356,15,Charleston,50,1850,"Charleston, SC, USA",32.7764749,-79.93105120000001
1478682.3236268333,776933.5041766829,16,Rochester,49,1850,"Rochester, NY, USA",43.15657789999999,-77.6088465
688894.5581520521,520848.0215347835,17,Chicago,40,1850,"Chicago, IL, USA",41.8781136,-87.6297982
1597045.5955958753,788713.5839247779,18,Syracuse,38,1850,"Syracuse, NY, USA",43.0481221,-76.14742439999999
1057362.9018611417,613370.7849437178,19,Detroit,38,1850,"Detroit, MI, USA",42.331427,-83.0457538
2042384.6457147035,967835.9902975449,20,"Portland, ME",36,1850,"Portland, ME, USA",43.6590993,-70.2568189
1826306.8215123028,572323.5961299175,1,New York,1143,1860,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,608,1860,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,3,Boston,374,1860,"Boston, MA, USA",42.3600825,-71.0588801
1645401.3846196022,369094.44625939615,4,Baltimore,221,1860,"Baltimore, MD, USA",39.2903848,-76.6121893
981897.663930694,239101.6451391023,5,Cincinnati,192,1860,"Cincinnati, OH, USA",39.1031182,-84.5120196
