city,other_name,country,latitude,longitude,certainty,year,population
Toulon,NA,France,43.11667,5.93333,1,1787,27540
Tours,NA,France,47.38333,0.68333,1,1787,28161
Troyes,NA,France,48.3,4.08333,1,1787,23000
Versailles,NA,France,48.8,2.13333,1,1787,37530
Zaragoza,NA,Spain,41.648792,-0.889581,1,1787,42600
Cochabamba,Oropesa,Bolivia,-17.3895,-66.1568,1,1788,22305
Dundee,NA,United Kingdom,56.5,-2.96667,1,1788,19329
Genova,Genoa,Italy,44.40565,8.946256,1,1788,77563
Kingston,NA,Jamaica,17.992731,-76.8,1,1788,26478
Marrakech,Marrakesh,Morocco,31.63416,-7.99994,1,1788,30000
Salerno,NA,Italy,40.67797,14.76599,1,1788,9181
Valladolid,NA,Spain,41.65518,-4.72372,1,1788,21000
Brest,NA,France,48.3908,-4.486075,1,1789,33852
Dhaka,Dacca,India,23.709921,90.407143,1,1789,125000
Mantova,Mantua,Italy,45.156417,10.791375,1,1789,24000
Murshidabad,NA,India,24.1839,88.27171,3,1789,207000
Nagasaki,NA,Japan,32.752558,129.878192,1,1789,31893
Nancy,NA,France,48.68439,6.18496,1,1789,32000
Aleppo,NA,Syria,36.216667,37.166667,1,1790,70000
Augsberg,Ausburg,Germany,48.371444,10.898239,1,1790,28534
Bordeaux,NA,France,44.84044,-0.5805,1,1790,104000
Cap-Haitien,"Cap Francois, Cap-HaÔtien",Haiti,19.756219,-72.199669,1,1790,20000
Iasi,Jassy,Romania,47.16667,27.6,1,1790,14963
Izmail,Ismail,Romania,45.351667,28.836389,2,1790,35000
Jodhpur,NA,India,26.26841,73.00594,1,1790,80000
Marseille,NA,France,43.29695,5.38107,1,1790,106585
Mexico City,Tenochtitlan,Mexico,19.42847,-99.12766,1,1790,120000
Middelburg,NA,Netherlands,51.5,3.61389,1,1790,22000
Rampur,NA,India,28.789304,79.024952,1,1790,38000
Toulouse,NA,France,43.60426,1.44367,1,1790,52000
Venice,NA,Italy,45.440847,12.315514,1,1790,148000
Belfast,NA,Ireland,54.597283,-5.930117,1,1791,18320
Cork,NA,Ireland,51.89797,-8.47061,1,1791,50000
Edinburgh,NA,United Kingdom,55.95206,-3.19648,1,1791,85486
Glasgow,NA,United Kingdom,55.86515,-4.25763,1,1791,66578
Havana,La Habana,Cuba,23.13302,-82.38304,1,1791,51307
Laon,NA,France,49.56667,3.61667,1,1791,7034
Asyut,NA,Egypt,27.18096,31.18368,1,1792,25000
Guadalajara,NA,Mexico,20.673819,-103.343489,1,1792,24249
Hull,NA,United Kingdom,53.7446,-0.33525,1,1792,22286
Jaen,JaÈn,Spain,37.76922,-3.79028,1,1792,17000
Oaxaca,NA,Mexico,17.07108,-96.71914,1,1792,24000
Potsdam,NA,Germany,52.39886,13.06566,1,1792,27000
Regensburg,Ratisbon,Germany,49.015,12.09556,1,1792,22000
Santiago de Queretaro,"Santiago de QuerÈtaro, Queretaro",Mexico,20.588792,-100.389889,2,1792,17005
Warsaw,NA,Poland,52.22977,21.01178,1,1792,120000
Wurzburg,W¸rzburg,Germany,49.791558,9.953694,1,1792,21000
Asuncion,AsunciÛn,Paraguay,-25.30066,-57.63591,1,1793,7088
Balkh,NA,Afghanistan,36.75635,66.8972,1,1793,23000
Cholula,NA,Mexico,19.06333,-98.306389,1,1793,9000
Jakarta,Batavia,Indonesia,-6.21462,106.84513,1,1793,55000
Kabul,NA,Afghanistan,34.52813,69.17233,1,1793,50000
Kandahar,Qandahar,Afghanistan,31.61332,65.71013,1,1793,25000
Lima,Rimac,Peru,-12.04318,-77.02824,1,1793,52627
Merida,Tiho,Mexico,20.979719,-89.615789,1,1793,28392
Patzcuaro,NA,Mexico,19.51931,-101.6097,1,1793,6000
Puebla,Puebla de Zaragoza,Mexico,19.0514,-98.2178,1,1793,56859
San Luis Potosi,San Luis PotosÌ,Mexico,22.14993,-100.9828,1,1793,8571
Tlaxcala,NA,Mexico,19.32076,-98.20959,1,1793,3357
Tzintzuntzan,NA,Mexico,19.62903,-101.57857,1,1793,2500
Zacatecas,NA,Mexico,22.76843,-102.58141,1,1793,33000
Ayacucho,"Guamanga, Huamanga",Peru,-13.1615,-74.22154,1,1794,25970
Cuzco,NA,Peru,-13.525,-71.972222,1,1794,32082
Istanbul,"Constantinople, Byzantium",Turkey,41.005275,28.976944,1,1794,560000
Kerman,NA,Iran,30.28321,57.07879,1,1794,55000
Riga,NA,Russian Federation,56.946,24.10589,1,1794,28801
Amsterdam,NA,Netherlands,52.37403,4.88969,1,1795,217024
Coimbra,NA,Portugal,40.20564,-8.41955,1,1795,15000
Guatemala City,Iximche,Guatemala,14.64072,-90.51327,1,1795,24434
Lvov,"Lwow, Lemberg",Poland,49.839683,24.029717,1,1795,38749
Odessa,Odesa,Russian Federation,46.47747,30.73262,1,1795,2349
Stuttgart,NA,Germany,48.78232,9.17702,1,1795,19510
Ulm,NA,Germany,48.39841,9.99155,1,1795,13000
Amsterdam,NA,Netherlands,52.37403,4.88969,1,1796,200560
Barcelona,NA,Spain,41.38879,2.15899,1,1796,117000
Brugge,Bruges,Belgium,51.210819,3.224936,1,1796,31319
Delft,NA,Netherlands,52.00667,4.35556,1,1796,13737
Dordrecht,NA,Netherlands,51.81,4.67361,1,1796,18014
Edessa,Urfa,Turkey,37.15,38.8,1,1796,22000
Groningen,NA,Netherlands,53.21917,6.56667,1,1796,21000
Hannover,NA,Germany,52.37052,9.73322,1,1796,18000
La Paz,NA,Bolivia,-16.5,-68.15,1,1796,21120
Mashhad,Meshhed,Iran,36.3,59.6,1,1796,18000
Middelburg,NA,Netherlands,51.5,3.61389,1,1796,17687
Segou,"Segu, SÈgou",Mali,13.440597,-6.265319,1,1796,30000
s'Hertogenbosch,Bois-le-Duc,Netherlands,51.697819,5.303667,1,1796,12627
Tehran,Teheran,Iran,35.69439,51.42151,1,1796,15000
The Hague,s-Gravenhage,Netherlands,52.070492,4.300694,1,1796,37000
Utrecht,NA,Netherlands,52.09083,5.12222,1,1796,25000
Allahabad,Prayag,India,25.44894,81.83328,1,1797,16000
Esfahan,Isfahan,Iran,32.651389,51.679192,1,1797,50000
